Time		w(t)		h		y(t)
1.000000	0.000000	0.500000	0.000000
1.145181	0.156202	0.145181	0.156202
1.282508	0.325864	0.137327	0.325863
1.422970	0.523858	0.140462	0.523858
1.548731	0.724267	0.125760	0.724267
1.666189	0.933176	0.117458	0.933176
1.778078	1.153622	0.111889	1.153621
1.885528	1.386957	0.107451	1.386956
1.989093	1.633924	0.103565	1.633923
2.089074	1.894989	0.099981	1.894987
2.185651	2.170475	0.096577	2.170473
2.278942	2.460619	0.093290	2.460617
2.369029	2.765603	0.090087	2.765601
2.455979	3.085570	0.086951	3.085568
2.539854	3.420639	0.083875	3.420636
2.620712	3.770908	0.080858	3.770905
2.698613	4.136460	0.077901	4.136457
2.773620	4.517370	0.075007	4.517366
2.845799	4.913702	0.072180	4.913698
2.915222	5.325515	0.069423	5.325509
2.981961	5.752860	0.066739	5.752854
3.000000	5.874106	0.018039	5.874100
